138,Алматы → Туркестан - 827 км, резиновый грануляд в мешках, 0, крытая (зад)
139,Алматы → Белгород - 3859 км, Тнп, 0, крытая (зад)
140,Алматы → Уральск - 2658 км, оборудование, 400000 , тент
141,Алматы → Шымкент - 681 км, Салфетки, 140000 , крытая (зад)
142,Алматы → Туркестан - 827 км, Алкоголь, 150000 , крытая (зад)
143,Алматы → Алаколь - 610 км, Сип панель и окна пластиковые, 150000 , любая (зад)
144,Алматы → Павлодар - 1437 км, Трубы, 0, тент (верх)
145,Алматы → Шымкент - 681 км, тнп, 0, рефр (зад)
146,Алматы → Шымкент - 681 км, стройматериалы, 140000 , крытая (бок+верх)
147,Алматы → Тараз - 490 км, Пластик, 90000 , любая (зад)
148,Алматы → Усть-Каменогорск - 1093 км, Оборудование, 0, тент (бок+верх)
149,Алматы → Худжанд - 970 км, напитки, 0, любая (зад)
150,Шу → Орск - 1985 км, Лук, 0, любая
151,Алматы → Шымкент - 681 км, салфетки, 150000, любая
152,Алматы → Байконур - 1362 км, Сэндвич панели  штук, 220000 , тент (бок+верх)
153,Шу → Магнитогорск - 2243 км, Лук, 0, любая
154,Алматы → Астана - 1214 км, Материалы, 250000 , тент (бок)
155,Алматы → Шымкент - 681 км, тнп, 150 , любая (зад)
156,Алматы → НурСултан - 1214 км, Продуктымедикаменты , 0, крытая (зад)
157,Алматы → Москва - 3958 км, Контейнер, 200000 , любая (верх)Только водители
158,Алматы → Усть-Каменогорск - 1093 км, овощи, 0, любая
159,Шу → Усть-Каменогорск - 1375 км, овощи, 0, любая
160,Алматы → Шымкент - 681 км, стройматериал, 140000 , тент (бок)
161,Алматы → Шымкент - 681 км, бочки на палетах, 120000 , тент (зад+бок+верх)
162,Алматы → НурСултан - 1214 км, пластиковые изделия, 240000 , крытая (зад)
163,Алматы → НурСултан - 1214 км, Арматура в пачках, 300000 , тент (верх)
164,Алматы → НурСултан - 1214 км, кирпич на паллетах, 270000 , тент (бок)
165,Талгар → НурСултан - 1224 км, кирпич на паллетах, 0, крытая
166,Алматы → Караганда - 999 км, прицеп,  270000 , крытая (зад)
167,Алматы → выгр: Тараз → Шымкент, продукты, 0, крытая (зад)
168,Алматы → выгр: Шымкент → Кызылорда, алкоголь, 0, изот (зад)
169,Алматы → Туркестан - 827 км, тнп, 0, изот (зад)
170,Алматы → Актобе - 2184 км, Металл, 280000 , тент (верх)
